Series▲▼,Product Image,Configuration▲▼,Package▲▼,Ch▲▼,VDS(V)▲▼,VGS(V)▲▼,RDS(on)@1.2V(Ω)▲▼,RDS(on)1.5V(Ω)▲▼,RDS(on)@1.8V(Ω)▲▼,RDS(on)@2.5V(Ω)▲▼,RDS(on)@3V(Ω)▲▼,RDS(on)@4.5V(Ω)▲▼,RDS(on)@6V(Ω)▲▼,RDS(on)@7.5V(Ω)▲▼,RDS(on)@10V(Ω)▲▼,Qg@4.5V(nC)▲▼,Qg@10V(nC)▲▼,Qgs(nC)▲▼,Qgd(nC)▲▼,IDMax.(A)▲▼,PDMax.(W)▲▼,VGS(th)Min.(V)▲▼,RgTyp.(Ω)▲▼,Image path
SUM90220E,Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,0.0235,0.0216,,,8.6,7.6,64,230,2,3,image/mosfets/67995.png
SUM90330E,Enlarge,Single,D2PAK (TO-263),N,200,20,,,,,,,,0.0422,0.0375,,21,6,5.3,35.1,125,2,3.8,image/mosfets/67535.png
SUM90N03-2m2P,,Single,D2PAK (TO-263),N,30,20,,,,,,0.0027,,,0.0022,81.5,171,34,29,90,250,1.5,1.4,image/mosfets/67535.png
SUM90N10-8m2p,Enlarge,Single,TO-263,N,100,20,,,,,,,,,0.0082,,97,32,25,90,300,2.5,1.4,image/mosfets/62932.png
SUM90P10-19L,,Single,D2PAK (TO-263),P,-100,20,,,,,,0.021,,,0.019,97,217,42,51,90,375,1,3.5,image/mosfets/71809.png
SUP10250E,Enlarge,Single,TO-220,N,250,20,,,,,,,,0.0325,0.315,,57.6,15.1,18.4,63,375,2,3.1,image/mosfets/62661.png
SUP40010EL,Enlarge,Single,TO-220,N,40,20,,,,,,0.0021,,,0.0016,,150,32,11,120,375,1.2,1.6,image/mosfets/68549.png
SUP40012EL,Enlarge,Single,TO-220,N,40,20,,,,,,0.00236,,,0.00179,,130,33.6,6.7,150,150,1,1.8,image/mosfets/62966.png
SUP50010E,Enlarge,Single,TO-220,N,60,20,,,,,,,,0.0025,0.002,,141,43.6,19.1,150,375,2,1.2,image/mosfets/63399.png
SUP50010EL,Enlarge,Single,TO-220,N,60,20,,,,,,0.0023,,,0.00173,,192,32,17.5,150,375,1,0.9,image/mosfets/67194.png
SUP53P06-20,Enlarge,Single,TO-220AB,P,-60,20,,,,,,0.025,,,0.0195,38,76,16,19,-53,104.2,-1,5.2,image/mosfets/70080.png
SUP57N20-33,,Single,TO-220,N,200,20,,,,,,,,,0.033,,90,23,34,57,300,2,,image/mosfets/67580.png
SUP60020E,Enlarge,Single,TO-220,N,80,20,,,,,,,,0.0028,0.0024,,151.2,48.4,24,150,375,2,1.7,image/mosfets/67198.png
SUP60030E,Enlarge,Single,TO-220,N,80,20,,,,,,,,0.0036,0.0034,,94,31,10,120,375,2,1.4,image/mosfets/65526.png
SUP60061EL,Enlarge,Single,TO-220AB,P,-80,20,,,,,,0.0081,,,0.0058,,145,34,16,-150,375,-1.5,2.3,image/mosfets/66823.png
SUP70030E,Enlarge,Single,TO-220,N,100,20,,,,,,,,0.00384,0.00318,,142.4,46.8,18.5,150,375,2,1.7,image/mosfets/63772.png
SUP70042E,Enlarge,Single,TO-220,N,100,20,,,,,,,,0.0045,0.004,,84,33.5,9.5,150,278,2,1.3,image/mosfets/67849.png
SUP70060E,Enlarge,Single,TO-220,N,100,20,,,,,,,,0.0064,0.0058,,53.5,14.5,13.2,131,200,2,1.9,image/mosfets/68663.png
SUP70090E,Enlarge,Single,TO-220,N,100,20,,,,,,,,0.0093,0.0089,,33,8.8,7.5,50,125,2,3.5,image/mosfets/62196.png
SUP70101EL,Enlarge,Single,TO-220AB,P,-100,20,,,,,,0.015,,,0.0101,,125,29,30,-120,375,-1.5,6.5,image/mosfets/67469.png
SUP80090E,Enlarge,Single,TO-220,N,150,20,,,,,,,,0.011,0.0094,,63,19.5,20.5,128,375,2,3,image/mosfets/67469.png
SUP85N15-21,,Single,TO-220,N,150,20,,,,,,,,,0.021,,75,21,26,85,300,2,,image/mosfets/67693.png
SUP90100E,Enlarge,Single,TO-220,N,200,20,,,,,,,,0.0124,0.0109,,72.8,19.4,19,150,375,2,3.5,image/mosfets/67693.png
SUP90140E,Enlarge,Single,TO-220,N,200,20,,,,,,,,0.018,0.017,,64,16.7,16.9,90,375,2,3,image/mosfets/62888.png
SUP90142E,Enlarge,Single,TO-220AB,N,200,20,,,,,,,,0.0169,0.0152,,58,17.6,17.2,90,375,2,3,image/mosfets/67876.png
SUP90220E,Enlarge,Single,TO-220AB,N,200,20,,,,,,,,0.0235,0.0216,,31.6,8.6,7.6,64,230,2,3,image/mosfets/68765.png
SUP90330E,Enlarge,Single,TO-220AB,N,200,20,,,,,,,,0.0422,0.0375,,21,6,5.3,35.8,125,2,3.8,image/mosfets/62287.png
Si1012CR,,Single,SC75A,N,20,8,,1.1,0.546,0.456,,0.396,,,,0.75,,0.15,0.13,0.63,0.24,0.4,12.2,image/mosfets/65701.png
Si1013CX,Enlarge,Single,SC89-3,P,-20,8,,,1.5,1.04,,0.76,,,,1.65,,0.2,0.26,0.45,0.19,0.4,12,image/mosfets/68645.png
Si1016CX,Enlarge,N&P PAIR,SC89-6,P,-20,8,,2.4,1.44,1.038,,0.756,,,,1.65,,0.2,0.26,0.6,0.22,0.4,12,image/mosfets/63653.png
Si1016CX,Enlarge,N&P PAIR,SC89-6,N,20,8,,0.76,0.546,0.456,,0.396,,,,1.3,,0.15,0.13,0.6,0.22,0.4,12.2,image/mosfets/69991.png
Si1034CX,,DUAL,SC89-6,N,20,8,,0.76,0.546,0.456,,0.396,,,,0.75,,0.15,0.13,0.61,0.22,0.4,12.2,image/mosfets/65175.png
Si1036X,Enlarge,DUAL,SC89-6,N,30,8,,1.1,0.7,0.6,,0.54,,,,0.72,,0.1,0.16,0.61,0.22,0.4,12.2,image/mosfets/73234.png
Si1040X,Enlarge,Level-shift,SC-89,P,,8,,,1.25,0.89,,0.625,,,,,,,,0.43,0.174,,,image/mosfets/68768.png
Si1062X,Enlarge,Single,SC-89,N,20,8,,0.762,0.597,0.492,,0.42,,,,1,,0.16,0.13,0.53,0.22,0.4,12.2,image/mosfets/77744.png
Si1077X,,Single,SC89-6,P,-20,8,,0.188,0.13,0.098,,0.078,,,,12.1,,1.85,2.21,1.75,0.33,0.4,18,image/mosfets/65900.png
Si1078X,Enlarge,Single,SC89-6,N,30,12,,,,0.195,,0.154,,,0.142,1.5,3,0.2,0.42,1.02,0.24,0.6,5.2,image/mosfets/67030.png
Si1079X,Enlarge,Single,SC89-6,P,-30,12,,,,0.14,,0.1,,,,8.1,17,1.2,2.2,1.44,0.33,0.6,18,image/mosfets/79400.png
Si1308EDL,Enlarge,Single,SC70-3,N,30,12,,,,0.185,,0.144,,,0.132,1.4,2.7,0.3,0.5,1.4,0.5,0.6,7,image/mosfets/68717.png
Si1317DL,Enlarge,Single,SC-70,P,-20,8,,,0.27,0.192,,0.15,,,,4.3,,0.7,1,-1.4,0.5,-0.45,7,image/mosfets/73533.png
Si1401EDH,Enlarge,Single,SC-70,P,-12,10,,0.11,0.07,0.046,,0.034,,,,14.1,,1.9,4,-4,2.8,-0.4,420,image/mosfets/67877.png
Si1416EDH,Enlarge,Single,SC-70,N,30,12,,,,0.077,,0.064,,,0.058,3.5,7.5,1.8,0.7,3.9,2.8,0.6,3.3,image/mosfets/63302.png
Si1424EDH,Enlarge,Single,SC-70,N,20,8,,0.07,0.045,0.038,,0.033,,,,6,,0.8,1.6,4,2.8,0.4,2300,image/mosfets/62827.png
Si1427EDH,Enlarge,Single,SC-70,P,-20,8,,0.165,0.11,0.085,,0.064,,,,7.6,,0.8,3.1,-2,2.8,-0.4,2000,image/mosfets/63199.png
Si1441EDH,Enlarge,Single,SC-70,P,-20,10,,,0.1,0.054,,0.041,,,,12.5,,1.8,3.3,-4,2.8,-0.4,430,image/mosfets/67509.png
Si1442DH,Enlarge,Single,SC-70,N,12,8,,,0.03,0.024,,0.02,,,,13.1,,2,2.7,4,2.8,0.4,1.6,image/mosfets/65015.png
Si1443EDH,Enlarge,Single,SC-70,P,-30,12,,,,0.085,,0.062,,,0.054,8.6,18.5,1.7,2.5,-4,2.8,-0.6,450,image/mosfets/77098.png
Si1467DH,Enlarge,Single,SC-70-6,P,-20,8,,,0.15,0.115,,0.09,,,,9,,1,2.5,-2.7,2.78,-0.4,10,image/mosfets/62865.png
Si1480BDH,Enlarge,Single,SOT-363,N,,,,,,,,0.27,,,0.212,1.86,3.9,0.93,0.5,,,1.6,2,image/mosfets/62947.png
Si1539CDL,Enlarge,N- and p-pair,SOT-363,P,-30,20,,,,,,1.7,,,0.89,0.55,1.5,0.4,0.35,-0.5,0.34,-1.2,8.3,image/mosfets/65905.png
Si1539CDL,Enlarge,N- and p-pair,SOT-363,N,30,20,,,,,,0.525,,,0.388,0.55,1,0.2,0.2,0.7,0.34,1.2,3.7,image/mosfets/63025.png
Si1553CDL,Enlarge,N- and p-pair,SC-70,N,20,,,,,0.578,,0.39,,,,0.55,1.2,0.15,0.15,0.7,0.34,0.6,7.2,image/mosfets/62960.png
Si1553CDL,Enlarge,N- and p-pair,SC-70,P,-20,,,,,1.48,,0.85,,,,0.55,1.9,0.25,0.25,-0.5,0.34,-0.6,10.3,image/mosfets/62133.png
Si1865DDL,Enlarge,Level-shift,SC-70,P,12,8,,,0.508,0.3,,0.2,,,,,,,,1.1,0.357,,,image/mosfets/70132.png
Si1902CDL,Enlarge,Dual,SC-70,N,20,12,,,,0.306,,0.235,,,,0.9,2,0.2,0.2,1.1,0.42,0.6,12,image/mosfets/62367.png
Si1965DH,Enlarge,Dual,SC70-6,P,-12,8,,,0.71,0.535,,0.39,,,,1.7,,0.3,0.4,-1.3,1.25,-0.4,7.5,image/mosfets/78984.png
Si1967DH,,DUAL,SC70-6,P,-20,8,,,0.79,0.64,,0.49,,,,1.6,,0.36,0.33,1.3,1.25,0.4,7.5,image/mosfets/67443.png
Si2122DS,Enlarge,Single,SOT-23,N,100,20,,,,,,,,0.167,0.16,2.9,3.8,1.3,0.6,2.17,1.6,2,1.5,image/mosfets/62946.png
Si2300DS,Enlarge,Single,SOT-23,N,30,12,,,,0.085,,0.068,,,,3,6.5,0.8,0.5,3.6,1.7,0.6,3.2,image/mosfets/71235.png
Si2302CDS,Enlarge,Single,SOT-23,N,20,8,,,,0.075,,0.057,,,,3.5,,0.6,0.45,2.6,0.71,0.4,4,image/mosfets/68803.png
Si2302DDS,Enlarge,Single,SOT-23,N,20,8,,,,0.075,,0.057,,,,3.5,,0.6,0.45,2.6,0.71,0.4,4,image/mosfets/68393.png
Si2303CDS,Enlarge,Single,SOT-23 (TO-236),P,-30,20,,,,,,0.33,,,0.19,,4,0.6,1,,2.3,-1,8.5,image/mosfets/75594.png
Si2304DDS,Enlarge,Single,SOT-23,N,30,20,,,,,,0.075,,,0.06,2.1,4.5,0.85,0.65,3.6,1.7,1.2,4.4,image/mosfets/72380.png
Si2306BDS,Enlarge,Single,SOT-23 (TO-236),N,30,20,,,,,,0.065,,,0.047,,,1.6,0.6,4,1.25,1,5,image/mosfets/62956.png
Si2307CDS,Enlarge,Single,SOT-23,P,-30,20,,,,,,0.138,,,0.088,4.1,,1.3,1.8,-3.5,1.8,-1,10,image/mosfets/63538.png
Si2308CDS,Enlarge,Single,SOT-23,N,60,20,,,,,,0.2,,,0.144,1.05,2,0.62,0.17,2.6,1.6,1,1.5,image/mosfets/69075.png
Si2309CDS,,Single,SOT-23,P,-60,20,,,,,,0.45,,,0.345,2.7,,0.8,1.2,1.6,1.7,1,7,image/mosfets/68602.png
Si2312CDS,Enlarge,Single,SOT-23,N,20,8,,,0.0414,0.0356,,0.0318,,,,8.8,,1.1,0.7,6,2.1,0.45,2.4,image/mosfets/69954.png
Si2315BDS,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/66572.png
Si2318CDS,Enlarge,Single,SOT-23,N,40,20,,,,,,0.051,,,0.042,2.9,5.8,1.1,0.9,5.6,2.1,1.2,3.3,image/mosfets/65712.png
Si2319DDS,Enlarge,Single,SOT-23,P,-40,20,,,,,,0.1,,,0.075,6,12.5,1.8,2,-3.6,,-1,10,image/mosfets/75219.png
Si2323CDS,,Single,SOT-23,P,-20,8,,,0.063,0.05,,0.039,,,,16,,2.5,3.2,6,2.5,0.4,4.1,image/mosfets/70865.png
Si2323DDS,,Single,SOT-23,P,-20,8,,,0.075,0.05,,0.039,,,,13.6,,2,2.2,5.3,1.7,0.4,10,image/mosfets/68603.png
Si2323DS,,,,,,,,,,,,,,,,,,,,,,,,image/mosfets/76252.png
Si2325DS,,Single,SOT-23,P,-150,20,,,,,,,1.3,,1.2,,7.7,1.5,2.5,0.69,1.25,2.5,9,image/mosfets/74735.png
Si2333CDS,Enlarge,Single,SOT-23 (TO-236),P,-12,8,,,0.059,0.045,,0.035,,,,15,,1.9,3.8,-7.1,2.5,-0.4,4,image/mosfets/70971.png
Si2333DDS,,Single,SOT-23,P,-12,8,,0.15,0.063,0.04,,0.028,,,,14,,2.3,3.6,6,1.7,0.4,9.5,image/mosfets/70971.png
Si2336DS,,Single,SOT-23,N,30,8,,,0.052,0.046,,0.042,,,,5.7,,0.85,0.75,5.2,1.8,0.4,3,image/mosfets/72032.png
Si2337DS,Enlarge,Single,SOT-23,P,-80,20,,,,,,,0.303,,0.27,,11,2.1,3.2,-2.2,2.5,-2,4.8,image/mosfets/72032.png
Si2338DS,Enlarge,Single,SOT-23,N,30,20,,,,,,0.033,,,0.028,4.2,8.2,1.4,1.4,6,2.5,1.2,12.6,image/mosfets/67998.png
Si2342DS,Enlarge,Single,SOT-23,N,8,5,0.075,0.03,0.022,0.02,,0.017,,,,10.5,,1.6,1,6,2.5,0.35,12,image/mosfets/65736.png
Si2343CDS,,Single,SOT-23,P,-30,20,,,,,,0.075,,,0.045,7,13.6,2.3,3.2,5.9,2.5,1.2,5,image/mosfets/67331.png
Si2347DS,Enlarge,Single,SOT-23,P,-30,20,,,,,,0.068,0.054,,0.042,6.9,14.5,2.3,2.1,-5,1.7,-1,8.3,image/mosfets/78131.png
Si2356DS,,Single,SOT-23,N,40,12,,,,0.07,,0.054,,,0.051,3.8,8.1,0.72,0.81,4.3,1.7,0.6,0.7,image/mosfets/67409.png
Si2365EDS,Enlarge,Single,SOT-23,P,-20,8,,,0.0675,0.041,,0.032,,,,13.8,,1.9,3,-5.9,1.7,-0.4,11,image/mosfets/62857.png
Si2366DS,Enlarge,Single,SOT-23,N,30,20,,,,,,0.042,,,0.036,3.2,6.4,1.1,1.3,5.8,2.1,1.2,3.5,image/mosfets/63035.png
Si2367DS,Enlarge,Single,SOT-23,P,-20,8,,,0.13,0.086,,0.066,,,,9,,1,2.5,-3.8,1.7,-0.4,10,image/mosfets/75972.png
Si2369BDS,Enlarge,Single,SOT-23,P,-30,-20,,,,,,0.039,,,0.027,6.2,12.9,2.7,2,-7.5,2.5,-1,18.3,image/mosfets/68394.png
Si2369DS,Enlarge,Single,SOT-23,P,-30,20,,,,,,0.04,0.034,,0.029,11.4,24,3.4,3.8,-7.6,2.5,-1.2,7.7,image/mosfets/69837.png
Si2371EDS,,Single,SOT-23,P,-30,12,,,,0.08,,0.053,,,0.045,10.6,22.8,1.7,2.6,4.8,1.7,0.6,11,image/mosfets/68665.png
Si2374DS,Enlarge,Single,SOT-23,N,20,8,,,0.041,0.034,,0.03,,,,7.7,13.4,1,1,5.9,1.7,0.4,0.6,image/mosfets/68601.png
Si2377EDS,Enlarge,Single,SOT-23,P,-20,8,,0.165,0.11,0.08,,0.061,,,,7.6,,0.8,3.1,-4.4,1.8,-0.4,2,image/mosfets/69994.png
Si2387DS,Enlarge,Single,SOT-23,P,-80,20,,,,,,0.242,,,0.164,3.2,6.8,1.8,0.85,-3,2.5,-1.5,5.5,image/mosfets/68999.png
Si2392ADS,Enlarge,Single,SOT-23,N,100,20,,,,,,0.189,0.144,,0.126,2.9,5.2,1,1.4,3.1,2.5,1.2,4.3,image/mosfets/64718.png
Si2392BDS,Enlarge,Single,SOT-23,N,100,20,,,,,,0.18,,,0.149,2.2,4.7,1,0.5,2.3,1.7,1.2,1.5,image/mosfets/63242.png
Si2393DS,Enlarge,Single,SOT-23,P,-30,-20,,,,,,0.033,,,0.0227,8.2,16.8,3.6,2.8,-7.5,2.5,-1,18.3,image/mosfets/63173.png
Si3122DV,Enlarge,Single,TSOP-6,N,100,20,,,,,,,,0.167,0.16,,3.8,1.3,0.6,1.34,1.34,2,1.5,image/mosfets/63167.png
Si3129DV,Enlarge,Single,TSOP-6,P,-80,20,,,,,,0.1242,,,0.0827,5.6,12,3.1,1.4,-5.4,4.2,-1.5,4.4,image/mosfets/69069.png
Si3407DV,,Single,TSOP-6,P,-20,12,,,,0.0372,,0.024,,,,21,42,6,5,8,4.2,0.65,6.5,image/mosfets/68870.png
Si3410DV,,Single,TSOP-6,N,30,20,,,,,,0.023,,,0.0195,9.2,21.8,3.8,2.5,8,4.1,1,2.4,image/mosfets/68998.png
Si3417DV,,Single,TSOP-6,P,-30,20,,,,,,0.036,,,0.0252,51,32,4,7.5,8,4.2,1,5.8,image/mosfets/65718.png
Si3421DV,,Single,TSOP-6,P,-30,20,,,,,,0.027,0.0232,,0.0192,21,46,7,6.1,8,4.2,1,8,image/mosfets/65152.png
Si3424CDV,Enlarge,Single,TSOP-6,N,,,,,,,,0.032,,,0.026,4.2,8.3,1.2,1.6,,,1,3,image/mosfets/63826.png
Si3429EDV,Enlarge,Single,TSOP-6,P,-20,8,,,0.038,0.024,,0.021,,,,43.2,,6.3,4.3,8,4.2,0.4,9.4,image/mosfets/62152.png
Si3430DV,Enlarge,Single,TSOP-6,N,100,20,,,,,,,0.185,,0.17,,5.5,1.5,1.4,1.8,1.14,2,0,image/mosfets/67092.png
Si3433CDV,Enlarge,Single,TSOP-6,P,-20,8,,,0.06,0.046,,0.038,,,,18,,2.1,4.8,-6,3.3,-0.4,6,image/mosfets/65022.png
Si3438DV,Enlarge,Single,TSOP-6,N,40,20,,,,,,,,,,,,1.9,1.7,7.4,3.5,1.4,2.2,image/mosfets/67907.png
Si3440ADV,Enlarge,Single,TSOP-6,N,150,20,,,,,,,,0.432,0.38,1.65,2,0.5,0.7,2.2,3.6,2,3.5,image/mosfets/66591.png
Si3440DV,Enlarge,Single,TSOP-6,N,150,20,,,,,,,0.4,,0.375,,5.4,1.1,1.9,1.2,1.14,2,9,image/mosfets/67078.png
