Series▲▼,Product Image,Part Number▲▼,VzMin.(V)▲▼,VzMax.(V)▲▼,VzNom.(V)▲▼,Izt(mA)▲▼,Ptot(mW)▲▼,Package (JEDEC®) Code▲▼,VzSpecification▲▼,AEC-Q101Qualified▲▼,Image path
AZ23 Series,Enlarge,AZ23B62,2.2,75,62,2,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23B68,2.2,75,68,2,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23 Series,Enlarge,AZ23B75,2.2,75,75,2,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86340.png
AZ23-G Series,Enlarge,AZ23C2V2-G,2.2,75,2.2,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C2V4-G,2.2,75,2.4,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C2V7-G,2.2,75,2.7,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C3V0-G,2.2,75,3,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C3V3-G,2.2,75,3.3,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C3V6-G,2.2,75,3.6,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C3V9-G,2.2,75,3.9,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C4V3-G,2.2,75,4.3,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C4V7-G,2.2,75,4.7,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C5V1-G,2.2,75,5.1,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C5V6-G,2.2,75,5.6,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C6V2-G,2.2,75,6.2,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
AZ23-G Series,Enlarge,AZ23C6V8-G,2.2,75,6.8,5,500,SOT-23,Pulse current,Yes,image/diodes/zener-stabilizers/86339.png
