Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage (V)▲▼;Form▲▼;Case Size▲▼;Temp Max (°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
196 HVC ENYCAP™;Enlarge;MAL219691262E3;15000000;2.8;Cell;14.5x24.0x2.5;+85 °C;1000;"""Button Cell, Connector, Flat, Form F""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691124E3;4000000;5.6;Cell;Ø7.0x10.0;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691203E3;15000000;4.2;Cell;Ø12.0x7.5;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691213E3;15000000;4.2;Cell;Ø12.0x7.5;+85 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691114E3;4000000;5.6;Cell;Ø7.0x10.0;+70 °C;1000;"""Button Cell, Radial, 3-pin, Stacked Horizontal, keyed polarity, Form B3""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691223E3;15000000;4.2;Cell;Ø12.0x7.5;+85 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Horizontal, Form B2""";Supercapacitor;image/capacitors/energy-storage/28409.png
196 HVC ENYCAP™;Enlarge;MAL219691104E3;4000000;5.6;Cell;Ø7.0x10.0;+70 °C;1000;"""Button Cell, Radial, 2-pin, Stacked Vertical, Form A2""";Supercapacitor;image/capacitors/energy-storage/28409.png
220 EDLC ENYCAP™;Enlarge;MAL222051008E3;50000000;2.7;Radial;Ø18x35;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222031015E3;12000000;2.7;Radial;Ø12.5x25;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222090009E3;55000000;2.7;Radial;Ø18x40;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222051016E3;15000000;2.7;Radial;Ø12.5x30;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222050009E3;55000000;2.7;Radial;Ø18x40;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222031016E3;15000000;2.7;Radial;Ø12.5x30;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222091009E3;60000000;2.7;Radial;Ø18x40;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222030003E3;15000000;2.7;Radial;Ø16x20;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222051009E3;60000000;2.7;Radial;Ø18x40;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222050003E3;15000000;2.7;Radial;Ø16x20;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222031012E3;7000000;2.7;Radial;Ø10x25;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222090003E3;15000000;2.7;Radial;Ø16x20;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222051012E3;7000000;2.7;Radial;Ø10x25;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222051003E3;20000000;2.7;Radial;Ø16x20;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222051014E3;8000000;2.7;Radial;Ø12.5x20;+85 °C;1000;"""Radial, Long Straight Leads, Bulk""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222091003E3;20000000;2.7;Radial;Ø16x20;+85 °C;1000;"""Radial, Long Straight Leads, On Plastic Tray""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222031003E3;20000000;2.7;Radial;Ø16x20;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors/energy-storage/28421.png
220 EDLC ENYCAP™;Enlarge;MAL222031014E3;8000000;2.7;Radial;Ø12.5x20;+85 °C;1000;"""Radial, Taped in Ammopack, Formed Leads""";Supercapacitor;image/capacitors/energy-storage/28421.png
