Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage(V)▲▼;Form▲▼;Case Size▲▼;Temp Max(°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
021 ASM;Enlarge;MAL202136331E3;330;25;Axial;Ø8x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202190547E3;15;100;Axial;Ø8x11;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202190544E3;68;63;Axial;Ø8x11;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202125222E3;2200;16;Axial;Ø12.5x30;+85 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202190537E3;100;40;Axial;Ø8x11;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202127331E3;330;40;Axial;Ø10x25;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202190548E3;15;100;Axial;Ø8x11;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202190545E3;68;63;Axial;Ø8x11;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202115222E3;2200;16;Axial;Ø12.5x30;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202138101E3;100;63;Axial;Ø8x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202137331E3;330;40;Axial;Ø10x25;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202138159E3;15;63;Axial;Ø4.5x10;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202124681E3;680;10;Axial;Ø8x18;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202126222E3;2200;25;Axial;Ø15x30;+85 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202128101E3;100;63;Axial;Ø8x18;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202118331E3;330;63;Axial;Ø12.5x30;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202128159E3;15;63;Axial;Ø4.5x10;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202134681E3;680;10;Axial;Ø8x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202116222E3;2200;25;Axial;Ø15x30;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202134102E3;1000;10;Axial;Ø10x18;+85 °C;2500;"""Axial, Taped in Ammopack""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202128331E3;330;63;Axial;Ø12.5x30;+85 °C;8000;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202119151E3;150;100;Axial;Ø12.5x30;+85 °C;8000;"""Axial, Bulk or Paperstrip in Box""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202149471E3;470;100;Axial;Ø18x30;+85 °C;8000;"""Radial, 4 pin Soldering Star/Mounting Ring, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
021 ASM;Enlarge;MAL202129228E3;2.2;100;Axial;Ø4.5x10;+85 °C;2500;"""Axial, Taped on Reel""";Aluminum Electrolytic;image/capacitors/aluminum/28325.png
